"(PDH-CSV 4.0) (China Standard Time)(-480)","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\AvgIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\AvgIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\AvgIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\IOPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\IOPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\IOPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaReadThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaReadThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaReadThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\MBPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\MBPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\MBPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\WriteIOPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\WriteIOPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\WriteIOPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\AvgWriteIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\AvgWriteIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\AvgWriteIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaWriteThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaWriteThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaWriteThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\QD","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\QD","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\QD","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaThrottled","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaThrottled","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaThrottled","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\WriteMBPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\WriteMBPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\WriteMBPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaReadsThrottled","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaReadsThrottled","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaReadsThrottled","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\ReadMBPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\ReadMBPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\ReadMBPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\AvgReadIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\AvgReadIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\AvgReadIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\ReadIOPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\ReadIOPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\ReadIOPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaWritesThrottled","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaWritesThrottled","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaWritesThrottled"
"12/15/2017 19:00:00.000","10173","0","10173","12.4","0","12.4","0","0","0","0.12615699999999999","0","0.12615699999999999","11.199999999999999","0","11.199999999999999","10386","0","10386","0","0","0","0.0107761","0","0.0107761","0","0","0","0.116326","0","0.116326","0","0","0","0","0","0","0.0098303999999999996","0","0.0098303999999999996","8192","0","8192","1.2","0","1.2","0","0","0"
"12/15/2017 19:00:05.000","28641","0","28641","13.6","0","13.6","0","0","0","0.38952999999999999","0","0.38952999999999999","13.4","0","13.4","28947","0","28947","0","0","0","0.028451799999999999","0","0.028451799999999999","0","0","0","0.38789099999999999","0","0.38789099999999999","0","0","0","0","0","0","0.0016383999999999999","0","0.0016383999999999999","8192","0","8192","0.20000000000000001","0","0.20000000000000001","0","0","0"
"12/15/2017 19:00:10.000","11195","0","11195","6","0","6","0","0","0","0.067174399999999995","0","0.067174399999999995","4.7999999999999998","0","4.7999999999999998","11946","0","11946","0","0","0","0.0089048400000000007","0","0.0089048400000000007","0","0","0","0.057343999999999999","0","0.057343999999999999","0","0","0","0","0","0","0.0098303999999999996","0","0.0098303999999999996","8192","0","8192","1.2","0","1.2","0","0","0"
"12/15/2017 19:00:15.000","21497","0","21497","14.800000000000001","0","14.800000000000001","0","0","0","0.31815700000000002","0","0.31815700000000002","14","0","14","22257","0","22257","0","0","0","0.021676600000000001","0","0.021676600000000001","0","0","0","0.31160300000000002","0","0.31160300000000002","0","0","0","0","0","0","0.0065535999999999997","0","0.0065535999999999997","8192","0","8192","0.80000000000000004","0","0.80000000000000004","0","0","0"
"12/15/2017 19:00:20.000","10063","0","10063","16.199999999999999","0","16.199999999999999","0","0","0","0.163021","0","0.163021","14.6","0","14.6","10268","0","10268","0","0","0","0.0089232400000000007","0","0.0089232400000000007","0","0","0","0.14991399999999999","0","0.14991399999999999","0","0","0","0","0","0","0.013107199999999999","0","0.013107199999999999","8192","0","8192","1.6000000000000001","0","1.6000000000000001","0","0","0"
"12/15/2017 19:00:25.000","21989","0","21989","3.7999999999999998","0","3.7999999999999998","0","0","0","0.083558400000000005","0","0.083558400000000005","3","0","3","25668","0","25668","0","0","0","0.0040777799999999996","0","0.0040777799999999996","0","0","0","0.077004799999999998","0","0.077004799999999998","0","0","0","0","0","0","0.0065535999999999997","0","0.0065535999999999997","8192","0","8192","0.80000000000000004","0","0.80000000000000004","0","0","0"
"12/15/2017 19:00:30.000","13974","0","13974","3.3999999999999999","0","3.3999999999999999","0","0","0","0.047513600000000003","0","0.047513600000000003","2.7999999999999998","0","2.7999999999999998","15213","0","15213","0","0","0","0.0043402199999999997","0","0.0043402199999999997","0","0","0","0.042598400000000002","0","0.042598400000000002","0","0","0","0","0","0","0.0049151999999999998","0","0.0049151999999999998","8192","0","8192","0.59999999999999998","0","0.59999999999999998","0","0","0"
"12/15/2017 19:00:35.000","33587","0","33587","3","0","3","0","0","0","0.100762","0","0.100762","3","0","3","33587","0","33587","0","0","0","0.0013994400000000001","0","0.0013994400000000001","0","0","0","0.100762","0","0.100762","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 19:00:40.000","12288","0","12288","20.600000000000001","0","20.600000000000001","0","0","0","0.253133","0","0.253133","18","0","18","12105","0","12105","0","0","0","0.0135412","0","0.0135412","0","0","0","0.21790699999999999","0","0.21790699999999999","0","0","0","0","0","0","0.035225600000000003","0","0.035225600000000003","13548","0","13548","2.6000000000000001","0","2.6000000000000001","0","0","0"
"12/15/2017 19:00:45.000","52736","0","52736","1.6000000000000001","0","1.6000000000000001","0","0","0","0.084377599999999997","0","0.084377599999999997","1.6000000000000001","0","1.6000000000000001","52736","0","52736","0","0","0","0.0092704399999999996","0","0.0092704399999999996","0","0","0","0.084377599999999997","0","0.084377599999999997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 19:00:50.000","14808","0","14808","2.6000000000000001","0","2.6000000000000001","0","0","0","0.038502399999999999","0","0.038502399999999999","2.6000000000000001","0","2.6000000000000001","14808","0","14808","0","0","0","0.0023194600000000002","0","0.0023194600000000002","0","0","0","0.038502399999999999","0","0.038502399999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 19:00:55.000","50907","0","50907","1.3999999999999999","0","1.3999999999999999","0","0","0","0.071270399999999998","0","0.071270399999999998","1.3999999999999999","0","1.3999999999999999","50907","0","50907","0","0","0","0.0022951999999999998","0","0.0022951999999999998","0","0","0","0.071270399999999998","0","0.071270399999999998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 19:01:00.000","6826","0","6826","6.5999999999999996","0","6.5999999999999996","0","0","0","0.045055999999999999","0","0.045055999999999999","6.5999999999999996","0","6.5999999999999996","6826","0","6826","0","0","0","0.0031077000000000001","0","0.0031077000000000001","0","0","0","0.045055999999999999","0","0.045055999999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 19:01:05.000","26220","0","26220","6.5999999999999996","0","6.5999999999999996","0","0","0","0.17305599999999999","0","0.17305599999999999","6.2000000000000002","0","6.2000000000000002","23684","0","23684","0","0","0","0.0119899","0","0.0119899","0","0","0","0.146842","0","0.146842","0","0","0","0","0","0","0.026214399999999999","0","0.026214399999999999","65536","0","65536","0.40000000000000002","0","0.40000000000000002","0","0","0"
"12/15/2017 19:01:10.000","13718","0","13718","5.7999999999999998","0","5.7999999999999998","0","0","0","0.079564800000000005","0","0.079564800000000005","5.2000000000000002","0","5.2000000000000002","14355","0","14355","0","0","0","0.0093227399999999995","0","0.0093227399999999995","0","0","0","0.074649599999999997","0","0.074649599999999997","0","0","0","0","0","0","0.0049151999999999998","0","0.0049151999999999998","8192","0","8192","0.59999999999999998","0","0.59999999999999998","0","0","0"
"12/15/2017 19:01:15.000","15026","0","15026","13.800000000000001","0","13.800000000000001","0","0","0","0.20735999999999999","0","0.20735999999999999","12","0","12","16315","0","16315","0","0","0","0.015721700000000002","0","0.015721700000000002","0","0","0","0.19578899999999999","0","0.19578899999999999","0","0","0","0","0","0","0.0115712","0","0.0115712","6428","0","6428","1.8","0","1.8","0","0","0"
"12/15/2017 19:01:20.000","11477","0","11477","2.3999999999999999","0","2.3999999999999999","0","0","0","0.0275456","0","0.0275456","2.3999999999999999","0","2.3999999999999999","11477","0","11477","0","0","0","0.0037186599999999999","0","0.0037186599999999999","0","0","0","0.0275456","0","0.0275456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 19:01:25.000","24234","0","24234","3.6000000000000001","0","3.6000000000000001","0","0","0","0.087244799999999997","0","0.087244799999999997","2.3999999999999999","0","2.3999999999999999","32256","0","32256","0","0","0","0.0044316800000000003","0","0.0044316800000000003","0","0","0","0.077414399999999994","0","0.077414399999999994","0","0","0","0","0","0","0.0098303999999999996","0","0.0098303999999999996","8192","0","8192","1.2","0","1.2","0","0","0"
"12/15/2017 19:01:30.000","5734","0","5734","8","0","8","0","0","0","0.045875199999999998","0","0.045875199999999998","7.5999999999999996","0","7.5999999999999996","5605","0","5605","0","0","0","0.0019001599999999999","0","0.0019001599999999999","0","0","0","0.042598400000000002","0","0.042598400000000002","0","0","0","0","0","0","0.0032767999999999999","0","0.0032767999999999999","8192","0","8192","0.40000000000000002","0","0.40000000000000002","0","0","0"
"12/15/2017 19:01:35.000","27461","0","27461","4.4000000000000004","0","4.4000000000000004","0","0","0","0.12083199999999999","0","0.12083199999999999","4.4000000000000004","0","4.4000000000000004","27461","0","27461","0","0","0","0.0048479200000000004","0","0.0048479200000000004","0","0","0","0.12083199999999999","0","0.12083199999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 19:01:40.000","51346","0","51346","5.5999999999999996","0","5.5999999999999996","0","0","0","0.28753899999999999","0","0.28753899999999999","5.5999999999999996","0","5.5999999999999996","51346","0","51346","0","0","0","0.015144899999999999","0","0.015144899999999999","0","0","0","0.28753899999999999","0","0.28753899999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 19:01:45.000","40960","0","40960","2.2000000000000002","0","2.2000000000000002","0","0","0","0.090111999999999998","0","0.090111999999999998","2","0","2","44236","0","44236","0","0","0","0.0020271400000000002","0","0.0020271400000000002","0","0","0","0.088473599999999999","0","0.088473599999999999","0","0","0","0","0","0","0.0016383999999999999","0","0.0016383999999999999","8192","0","8192","0.20000000000000001","0","0.20000000000000001","0","0","0"
"12/15/2017 19:01:50.000","25775","0","25775","14","0","14","0","0","0","0.36085800000000001","0","0.36085800000000001","8.4000000000000004","0","8.4000000000000004","7850","0","7850","0","0","0","0.0095048600000000004","0","0.0095048600000000004","0","0","0","0.065945599999999993","0","0.065945599999999993","0","0","0","0","0","0","0.29491200000000001","0","0.29491200000000001","52662","0","52662","5.5999999999999996","0","5.5999999999999996","0","0","0"
"12/15/2017 19:01:55.000","31428","0","31428","2.6000000000000001","0","2.6000000000000001","0","0","0","0.081715200000000002","0","0.081715200000000002","2.6000000000000001","0","2.6000000000000001","31428","0","31428","0","0","0","0.00141142","0","0.00141142","0","0","0","0.081715200000000002","0","0.081715200000000002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
